date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-08-08,Holistic Transition,member_06,31640.57,10886.967,20753.604
2035-10-14,Holistic Transition,member_06,31549.57,10810.0,20739.57
2036-01-08,Electric Engagement,member_12,31935.459,11255.459,20680.0
2035-03-09,Electric Engagement,member_13,31490.0,10810.0,20680.0
2035-02-17,Holistic Transition,member_12,29140.0,8460.0,20680.0
2035-06-06,Electric Engagement,member_12,31686.775,11006.776,20680.0
2036-01-08,Holistic Transition,member_06,31490.0,10810.0,20680.0
2035-03-16,Electric Engagement,member_13,31020.0,10340.0,20680.0
2036-01-14,Electric Engagement,member_06,31020.0,10340.0,20680.0
2036-01-14,Holistic Transition,member_12,31020.0,10340.0,20680.0
2035-02-21,Holistic Transition,member_13,31490.0,10810.0,20680.0
2036-01-14,Holistic Transition,member_13,31020.0,10340.0,20680.0
2035-02-21,Holistic Transition,member_06,31490.0,10810.0,20680.0
2035-02-07,Electric Engagement,member_13,31490.0,10810.0,20680.0
2035-02-21,Electric Engagement,member_13,31490.0,10810.0,20680.0
2035-02-21,Electric Engagement,member_06,31490.0,10810.0,20680.0
2035-06-16,Holistic Transition,member_13,31769.645,11089.645,20680.0
2036-01-04,Electric Engagement,member_13,30550.0,9870.0,20680.0
2035-03-09,Electric Engagement,member_12,31490.0,10810.0,20680.0
2035-03-16,Electric Engagement,member_12,31020.0,10340.0,20680.0
2035-01-26,Holistic Transition,member_12,31490.0,10810.0,20680.0
2035-03-09,Holistic Transition,member_06,31490.0,10810.0,20680.0
2035-03-09,Holistic Transition,member_12,31490.0,10810.0,20680.0
2035-03-09,Holistic Transition,member_13,31490.0,10810.0,20680.0
2035-07-20,Electric Engagement,member_06,31490.0,10810.0,20680.0
2035-02-18,Holistic Transition,member_13,31020.0,10340.0,20680.0
2035-01-26,Holistic Transition,member_06,31490.0,10810.0,20680.0
2035-03-09,Electric Engagement,member_06,31490.0,10810.0,20680.0
2036-01-04,Electric Engagement,member_06,30609.564,9929.564,20680.0
2035-01-26,Holistic Transition,member_13,31490.0,10810.0,20680.0
2035-10-31,Electric Engagement,member_06,30586.707,9906.708,20680.0
2036-01-04,Holistic Transition,member_12,30550.0,9870.0,20680.0
2035-10-17,Electric Engagement,member_12,30524.836,9870.0,20654.836
2035-08-08,Electric Engagement,member_12,31734.49,11083.526,20650.965
2035-02-21,Electric Engagement,member_12,31385.92,10810.0,20575.92
2035-03-10,Electric Engagement,member_12,31515.77,10957.647,20558.121
2035-06-06,Holistic Transition,member_13,31816.752,11280.0,20536.752
2035-07-20,Electric Engagement,member_12,31298.7,10810.0,20488.7
2036-01-08,Holistic Transition,member_13,31196.719,10810.0,20386.719
2035-12-30,Holistic Transition,member_12,30755.635,10381.584,20374.05
2035-02-19,Electric Engagement,member_06,31020.0,10810.0,20210.0
2035-08-02,Electric Engagement,member_12,30550.0,10340.0,20210.0
2035-05-01,Holistic Transition,member_12,30550.0,10340.0,20210.0
2035-02-06,Holistic Transition,member_13,31020.0,10810.0,20210.0
2035-08-02,Holistic Transition,member_13,30550.0,10340.0,20210.0
